# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.088 us    |                        } /* __update_load_avg_cfs_rq */
   1)   0.093 us    |                        update_cfs_group();
   1)   0.093 us    |                        check_spread.isra.0();
   1)   1.172 us    |                      } /* enqueue_entity */
   1)   0.087 us    |                      hrtick_update();
   1)   1.516 us    |                    } /* enqueue_task_fair */
   1)   1.759 us    |                  } /* activate_task */
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      resched_curr() {
   1)               |                        native_smp_send_reschedule() {
   1)               |                          x2apic_send_IPI() {
   1)   7.335 us    |                            __x2apic_send_IPI_dest();
   1)   7.734 us    |                          }
   1)   7.911 us    |                        }
   1)   8.106 us    |                      }
   1)   8.294 us    |                    }
   1)   8.582 us    |                  }
   1) + 10.572 us   |                } /* ttwu_do_activate */
   1) + 11.477 us   |              } /* ttwu_queue */
   1)   0.107 us    |              _raw_spin_unlock_irqrestore();
   1)   0.085 us    |              ttwu_stat();
   1) + 13.000 us   |            } /* try_to_wake_up */
   1) + 13.183 us   |          } /* wake_up_process */
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.088 us    |              _raw_spin_lock_irq();
   1)   0.101 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.085 us    |                    rcu_qs();
   1)   0.250 us    |                  }
   1)   0.096 us    |                  _raw_spin_lock();
   1)               |                  update_rq_clock() {
   1)               |                    update_rq_clock_task() {
   1)   0.089 us    |                      update_irq_load_avg();
   1)   0.306 us    |                    }
   1)   0.468 us    |                  }
   1)               |                  deactivate_task() {
   1)               |                    dequeue_task_fair() {
   1)               |                      dequeue_entity() {
   1)               |                        update_curr() {
   1)   0.084 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.172 us    |                            rcu_read_unlock_strict();
   1)   0.344 us    |                          }
   1)   0.103 us    |                          rcu_read_unlock_strict();
   1)   0.929 us    |                        }
   1)   0.092 us    |                        __update_load_avg_se();
   1)   0.089 us    |                        __update_load_avg_cfs_rq();
   1)   0.084 us    |                        clear_buddies();
   1)   0.086 us    |                        update_cfs_group();
   1)   0.085 us    |                        update_min_vruntime();
   1)   1.990 us    |                      }
   1)   0.087 us    |                      hrtick_update();
   1)   2.341 us    |                    }
   1)   2.533 us    |                  }
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.090 us    |                      __msecs_to_jiffies();
   1)   0.082 us    |                      rcu_read_unlock_strict();
   1)   0.093 us    |                      nohz_newidle_balance();
   1)   0.620 us    |                    }
   1)   0.085 us    |                    try_steal();
   1)   0.090 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.165 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.083 us    |                      check_cfs_rq_runtime();
   1)   0.089 us    |                      check_spread.isra.0();
   1)   0.434 us    |                    }
   1)   0.601 us    |                  }
   1)   0.087 us    |                  pick_next_task_idle();
   1)   0.194 us    |                  __traceiter_sched_switch();
   1)   0.088 us    |                  enter_lazy_tlb();
   1)   0.570 us    |                  finish_task_switch();
   1) + 67.638 us   |                }
   1) + 67.893 us   |              }
   1)   0.109 us    |              _raw_spin_lock_irq();
   1)   0.092 us    |              __finish_swait();
   1) + 69.139 us   |            }
   1) + 69.316 us   |          }
   1)               |          __set_task_comm() {
   1)   0.132 us    |            _raw_spin_lock();
   1)   0.413 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.136 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.089 us    |                _raw_spin_lock_irqsave();
   1)   0.131 us    |                _raw_spin_lock();
   1)   0.503 us    |              }
   1)               |              update_rq_clock() {
   1)   0.142 us    |                update_rq_clock_task();
   1)   0.329 us    |              }
   1)   0.116 us    |              _raw_spin_unlock_irqrestore();
   1)   0.087 us    |              cpuset_read_unlock();
   1)   1.783 us    |            }
   1)   1.981 us    |          }
   1)   0.085 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.089 us    |                _raw_spin_lock_irqsave();
   1)   0.084 us    |                _raw_spin_lock();
   1)   0.421 us    |              }
   1)               |              update_rq_clock() {
   1)   0.088 us    |                update_rq_clock_task();
   1)   0.261 us    |              }
   1)   0.100 us    |              _raw_spin_unlock_irqrestore();
   1)   1.132 us    |            }
   1)   1.292 us    |          }
   1)               |          kfree() {
   1)   0.109 us    |            __slab_free();
   1)   0.438 us    |          }
   1) + 89.014 us   |        } /* __kthread_create_on_node */
   1) + 89.202 us   |      } /* kthread_create_on_node */
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.086 us    |          _raw_spin_lock_irqsave();
   1)               |          select_task_rq_fair() {
   1)               |            select_idle_sibling() {
   1)   0.109 us    |              available_idle_cpu();
   1)   0.282 us    |            }
   1)   0.088 us    |            rcu_read_unlock_strict();
   1)   0.705 us    |          }
   1)               |          ttwu_queue() {
   1)   0.090 us    |            ttwu_queue_wakelist.part.0();
   1)   0.085 us    |            _raw_spin_lock();
   1)               |            update_rq_clock() {
   1)   0.089 us    |              update_rq_clock_task();
   1)   0.256 us    |            }
   1)               |            ttwu_do_activate() {
   1)               |              activate_task() {
   1)               |                enqueue_task_fair() {
   1)               |                  enqueue_entity() {
   1)   0.087 us    |                    update_curr();
   1)   0.106 us    |                    __update_load_avg_se();
   1)   0.089 us    |                    __update_load_avg_cfs_rq();
   1)   0.087 us    |                    update_cfs_group();
   1)   0.113 us    |                    check_spread.isra.0();
   1)   1.091 us    |                  }
   1)   0.085 us    |                  hrtick_update();
   1)   1.481 us    |                }
   1)   1.679 us    |              }
   1)               |              ttwu_do_wakeup() {
   1)               |                check_preempt_curr() {
   1)               |                  resched_curr() {
   1)               |                    native_smp_send_reschedule() {
   1)               |                      x2apic_send_IPI() {
   1)   8.392 us    |                        __x2apic_send_IPI_dest();
   1)   8.836 us    |                      }
   1)   9.030 us    |                    }
   1)   9.233 us    |                  }
   1)   9.458 us    |                }
   1)   9.812 us    |              }
   1) + 11.746 us   |            }
   1) + 12.611 us   |          }
   1)   0.164 us    |          _raw_spin_unlock_irqrestore();
   1)   0.100 us    |          ttwu_stat();
   1) + 14.386 us   |        }
   1) + 14.552 us   |      }
   1)               |      __cond_resched() {
   1)   0.110 us    |        rcu_all_qs();
   1)   0.298 us    |      }
   1)               |      down() {
   1)   0.111 us    |        _raw_spin_lock_irqsave();
   1)   0.088 us    |        _raw_spin_unlock_irqrestore();
   1)   0.472 us    |      }
   1)               |      kthread_create_on_node() {
   1)               |        __kthread_create_on_node() {
   1)               |          kmem_cache_alloc_trace() {
   1)   0.093 us    |            should_failslab();
   1)   0.339 us    |          }
   1)   0.127 us    |          _raw_spin_lock();
   1)               |          wake_up_process() {
   1)               |            try_to_wake_up() {
   1)   0.111 us    |              _raw_spin_lock_irqsave();
   1)               |              select_task_rq_fair() {
   1)               |                select_idle_sibling() {
   1)   0.096 us    |                  available_idle_cpu();
   1)   0.095 us    |                  cpus_share_cache();
   1)   0.093 us    |                  available_idle_cpu();
   1)               |                  select_idle_cpu() {
   1)   0.088 us    |                    available_idle_cpu();
   1)   0.087 us    |                    available_idle_cpu();
   1)   0.632 us    |                  }
   1)   1.401 us    |                }
   1)   0.085 us    |                rcu_read_unlock_strict();
   1)   1.771 us    |              }
   1)               |              ttwu_queue() {
   1)   0.092 us    |                ttwu_queue_wakelist.part.0();
   1)   0.086 us    |                _raw_spin_lock();
   1)               |                update_rq_clock() {
   1)   0.115 us    |                  update_rq_clock_task();
   1)   0.271 us    |                }
   1)               |                ttwu_do_activate() {
   1)               |                  activate_task() {
   1)               |                    enqueue_task_fair() {
   1)               |                      enqueue_entity() {
   1)               |                        update_curr() {
   1)   0.084 us    |                          update_min_vruntime();
   1)               |                          cpuacct_charge() {
   1)   0.186 us    |                            rcu_read_unlock_strict();
   1)   0.345 us    |                          }
   1)   0.121 us    |                          rcu_read_unlock_strict();
   1)   0.973 us    |                        }
   1)   0.085 us    |                        __update_load_avg_se();
   1)   0.103 us    |                        __update_load_avg_cfs_rq();
   1)   0.085 us    |                        update_cfs_group();
   1)   0.093 us    |                        check_spread.isra.0();
   1)   1.943 us    |                      }
   1)   0.084 us    |                      overload_set();
   1)   0.085 us    |                      hrtick_update();
   1)   2.515 us    |                    }
   1)   2.708 us    |                  }
   1)               |                  ttwu_do_wakeup() {
   1)               |                    check_preempt_curr() {
   1)               |                      check_preempt_wakeup() {
   1)   0.094 us    |                        update_curr();
   1)   0.263 us    |                      }
   1)   0.472 us    |                    }
   1)   0.672 us    |                  }
   1)   3.641 us    |                }
   1)   4.501 us    |              }
   1)   0.093 us    |              _raw_spin_unlock_irqrestore();
   1)   0.087 us    |              ttwu_stat();
   1)   7.118 us    |            }
   1)   7.292 us    |          }
   1)               |          wait_for_completion_killable() {
   1)               |            wait_for_common() {
   1)   0.087 us    |              _raw_spin_lock_irq();
   1)   0.088 us    |              __prepare_to_swait();
   1)               |              schedule_timeout() {
   1)               |                schedule() {
   1)               |                  rcu_note_context_switch() {
   1)   0.089 us    |                    rcu_qs();
