# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.085 us    |          } /* _raw_spin_lock_irqsave */
   0)               |          select_task_rq_fair() {
   0)               |            select_idle_sibling() {
   0)   0.107 us    |              available_idle_cpu();
   0)   0.275 us    |            }
   0)   0.083 us    |            rcu_read_unlock_strict();
   0)   0.678 us    |          }
   0)               |          ttwu_queue() {
   0)               |            ttwu_queue_wakelist.part.0() {
   0)               |              __smp_call_single_queue() {
   0)               |                send_call_function_single_ipi() {
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   8.640 us    |                      __x2apic_send_IPI_dest();
   0)   9.104 us    |                    }
   0)   9.292 us    |                  }
   0)   9.484 us    |                }
   0)   9.680 us    |              }
   0)   9.911 us    |            }
   0) + 10.089 us   |          }
   0)   0.137 us    |          _raw_spin_unlock_irqrestore();
   0)   0.091 us    |          ttwu_stat();
   0) + 11.941 us   |        } /* try_to_wake_up */
   0) + 12.104 us   |      } /* wake_up_process */
   0)               |      __cond_resched() {
   0)   0.102 us    |        rcu_all_qs();
   0)   0.309 us    |      }
   0)               |      down() {
   0)   0.092 us    |        _raw_spin_lock_irqsave();
   0)   0.088 us    |        _raw_spin_unlock_irqrestore();
   0)   0.447 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.096 us    |            should_failslab();
   0)   0.358 us    |          }
   0)   0.133 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.119 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.128 us    |                  available_idle_cpu();
   0)   0.290 us    |                }
   0)   0.084 us    |                rcu_read_unlock_strict();
   0)   0.668 us    |              }
   0)               |              ttwu_queue() {
   0)   0.123 us    |                ttwu_queue_wakelist.part.0();
   0)   0.109 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.108 us    |                  update_rq_clock_task();
   0)   0.301 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.084 us    |                        update_curr();
   0)   0.087 us    |                        __update_load_avg_se();
   0)   0.087 us    |                        __update_load_avg_cfs_rq();
   0)   0.084 us    |                        update_cfs_group();
   0)   0.084 us    |                        check_spread.isra.0();
   0)   1.020 us    |                      }
   0)   0.087 us    |                      hrtick_update();
   0)   1.404 us    |                    }
   0)   1.605 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   7.534 us    |                            __x2apic_send_IPI_dest();
   0)   7.933 us    |                          }
   0)   8.121 us    |                        }
   0)   8.325 us    |                      }
   0)   8.514 us    |                    }
   0)   8.824 us    |                  }
   0) + 10.676 us   |                }
   0) + 11.627 us   |              }
   0)   0.109 us    |              _raw_spin_unlock_irqrestore();
   0)   0.093 us    |              ttwu_stat();
   0) + 13.164 us   |            }
   0) + 13.364 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.085 us    |              _raw_spin_lock_irq();
   0)   0.100 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.087 us    |                    rcu_qs();
   0)   0.249 us    |                  }
   0)   0.093 us    |                  _raw_spin_lock();
   0)               |                  update_rq_clock() {
   0)               |                    update_rq_clock_task() {
   0)   0.093 us    |                      update_irq_load_avg();
   0)   0.306 us    |                    }
   0)   0.477 us    |                  }
   0)               |                  deactivate_task() {
   0)               |                    dequeue_task_fair() {
   0)               |                      dequeue_entity() {
   0)               |                        update_curr() {
   0)   0.093 us    |                          update_min_vruntime();
   0)               |                          cpuacct_charge() {
   0)   0.167 us    |                            rcu_read_unlock_strict();
   0)   0.332 us    |                          }
   0)   0.104 us    |                          rcu_read_unlock_strict();
   0)   0.934 us    |                        }
   0)   0.089 us    |                        __update_load_avg_se();
   0)   0.091 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        clear_buddies();
   0)   0.093 us    |                        update_cfs_group();
   0)   0.085 us    |                        update_min_vruntime();
   0)   2.007 us    |                      }
   0)   0.083 us    |                      hrtick_update();
   0)   2.380 us    |                    }
   0)   2.583 us    |                  }
   0)               |                  pick_next_task_fair() {
   0)               |                    newidle_balance() {
   0)   0.090 us    |                      __msecs_to_jiffies();
   0)   0.084 us    |                      rcu_read_unlock_strict();
   0)   0.086 us    |                      nohz_newidle_balance();
   0)   0.614 us    |                    }
   0)   0.089 us    |                    try_steal();
   0)   0.084 us    |                    __unthrottle_qos_cfs_rqs();
   0)   1.203 us    |                  }
   0)               |                  put_prev_task_fair() {
   0)               |                    put_prev_entity() {
   0)   0.086 us    |                      check_cfs_rq_runtime();
   0)   0.092 us    |                      check_spread.isra.0();
   0)   0.446 us    |                    }
   0)   0.608 us    |                  }
   0)   0.087 us    |                  pick_next_task_idle();
   0)   0.200 us    |                  __traceiter_sched_switch();
   0)   0.089 us    |                  enter_lazy_tlb();
   0)   0.418 us    |                  finish_task_switch();
   0) + 65.159 us   |                }
   0) + 65.386 us   |              }
   0)   0.112 us    |              _raw_spin_lock_irq();
   0)   0.089 us    |              __finish_swait();
   0) + 66.380 us   |            }
   0) + 66.570 us   |          }
   0)               |          __set_task_comm() {
   0)   0.152 us    |            _raw_spin_lock();
   0)   0.429 us    |          }
   0)               |          sched_setscheduler_nocheck() {
   0)               |            __sched_setscheduler() {
   0)   0.131 us    |              cpuset_read_lock();
   0)               |              task_rq_lock() {
   0)   0.088 us    |                _raw_spin_lock_irqsave();
   0)   0.119 us    |                _raw_spin_lock();
   0)   0.496 us    |              }
