# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                  native_send_call_func_single_ipi() {
   0)               |                    x2apic_send_IPI() {
   0)   7.902 us    |                      __x2apic_send_IPI_dest();
   0)   8.390 us    |                    }
   0)   8.821 us    |                  }
   0)   9.025 us    |                } /* send_call_function_single_ipi */
   0)   9.223 us    |              } /* __smp_call_single_queue */
   0)   9.452 us    |            } /* ttwu_queue_wakelist.part.0 */
   0)   9.625 us    |          } /* ttwu_queue */
   0)   0.162 us    |          _raw_spin_unlock_irqrestore();
   0)   0.094 us    |          ttwu_stat();
   0) + 11.241 us   |        } /* try_to_wake_up */
   0) + 11.417 us   |      } /* wake_up_process */
   0)               |      __cond_resched() {
   0)   0.111 us    |        rcu_all_qs();
   0)   0.322 us    |      }
   0)               |      down() {
   0)   0.091 us    |        _raw_spin_lock_irqsave();
   0)   0.092 us    |        _raw_spin_unlock_irqrestore();
   0)   0.433 us    |      }
   0)               |      kthread_create_on_node() {
   0)               |        __kthread_create_on_node() {
   0)               |          kmem_cache_alloc_trace() {
   0)   0.096 us    |            should_failslab();
   0)   0.352 us    |          }
   0)   0.149 us    |          _raw_spin_lock();
   0)               |          wake_up_process() {
   0)               |            try_to_wake_up() {
   0)   0.125 us    |              _raw_spin_lock_irqsave();
   0)               |              select_task_rq_fair() {
   0)               |                select_idle_sibling() {
   0)   0.132 us    |                  available_idle_cpu();
   0)   0.308 us    |                }
   0)   0.085 us    |                rcu_read_unlock_strict();
   0)   0.659 us    |              }
   0)               |              ttwu_queue() {
   0)   0.122 us    |                ttwu_queue_wakelist.part.0();
   0)   0.102 us    |                _raw_spin_lock();
   0)               |                update_rq_clock() {
   0)   0.122 us    |                  update_rq_clock_task();
   0)   0.310 us    |                }
   0)               |                ttwu_do_activate() {
   0)               |                  activate_task() {
   0)               |                    enqueue_task_fair() {
   0)               |                      enqueue_entity() {
   0)   0.085 us    |                        update_curr();
   0)   0.088 us    |                        __update_load_avg_se();
   0)   0.088 us    |                        __update_load_avg_cfs_rq();
   0)   0.086 us    |                        update_cfs_group();
   0)   0.103 us    |                        check_spread.isra.0();
   0)   1.009 us    |                      }
   0)   0.096 us    |                      hrtick_update();
   0)   1.408 us    |                    }
   0)   1.615 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)               |                      resched_curr() {
   0)               |                        native_smp_send_reschedule() {
   0)               |                          x2apic_send_IPI() {
   0)   8.026 us    |                            __x2apic_send_IPI_dest();
   0)   8.491 us    |                          }
   0)   8.689 us    |                        }
   0)   8.891 us    |                      }
   0)   9.101 us    |                    }
   0)   9.426 us    |                  }
   0) + 11.288 us   |                }
   0) + 12.239 us   |              }
   0)   0.150 us    |              _raw_spin_unlock_irqrestore();
   0)   0.113 us    |              ttwu_stat();
   0) + 13.890 us   |            }
   0) + 14.068 us   |          }
   0)               |          wait_for_completion_killable() {
   0)               |            wait_for_common() {
   0)   0.088 us    |              _raw_spin_lock_irq();
   0)   0.091 us    |              __prepare_to_swait();
   0)               |              schedule_timeout() {
   0)               |                schedule() {
   0)               |                  rcu_note_context_switch() {
   0)   0.085 us    |                    rcu_qs();
   0)   0.258 us    |                  }
