# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   1)   0.216 us    |                        update_cfs_group();
   1)   0.088 us    |                        update_min_vruntime();
   1)   2.128 us    |                      } /* dequeue_entity */
   1)   0.088 us    |                      hrtick_update();
   1)   2.484 us    |                    } /* dequeue_task_fair */
   1)   2.678 us    |                  } /* deactivate_task */
   1)               |                  pick_next_task_fair() {
   1)               |                    newidle_balance() {
   1)   0.085 us    |                      __msecs_to_jiffies();
   1)   0.084 us    |                      rcu_read_unlock_strict();
   1)   0.094 us    |                      nohz_newidle_balance();
   1)   0.653 us    |                    }
   1)   0.087 us    |                    try_steal();
   1)   0.090 us    |                    __unthrottle_qos_cfs_rqs();
   1)   1.246 us    |                  }
   1)               |                  put_prev_task_fair() {
   1)               |                    put_prev_entity() {
   1)   0.106 us    |                      check_cfs_rq_runtime();
   1)   0.109 us    |                      check_spread.isra.0();
   1)   0.484 us    |                    }
   1)   0.649 us    |                  }
   1)   0.089 us    |                  pick_next_task_idle();
   1)   0.203 us    |                  __traceiter_sched_switch();
   1)   0.088 us    |                  enter_lazy_tlb();
   1)   0.381 us    |                  finish_task_switch();
   1) + 70.601 us   |                } /* schedule */
   1) + 70.831 us   |              } /* schedule_timeout */
   1)   0.113 us    |              _raw_spin_lock_irq();
   1)   0.090 us    |              __finish_swait();
   1) + 71.810 us   |            } /* wait_for_common */
   1) + 71.992 us   |          } /* wait_for_completion_killable */
   1)               |          __set_task_comm() {
   1)   0.135 us    |            _raw_spin_lock();
   1)   0.444 us    |          }
   1)               |          sched_setscheduler_nocheck() {
   1)               |            __sched_setscheduler() {
   1)   0.123 us    |              cpuset_read_lock();
   1)               |              task_rq_lock() {
   1)   0.088 us    |                _raw_spin_lock_irqsave();
   1)   0.120 us    |                _raw_spin_lock();
   1)   0.498 us    |              }
   1)               |              update_rq_clock() {
   1)               |                update_rq_clock_task() {
   1)   0.091 us    |                  update_irq_load_avg();
   1)   0.356 us    |                }
   1)   0.543 us    |              }
   1)   0.091 us    |              _raw_spin_unlock_irqrestore();
   1)   0.088 us    |              cpuset_read_unlock();
   1)   1.970 us    |            }
   1)   2.158 us    |          }
   1)   0.088 us    |          housekeeping_cpumask();
   1)               |          set_cpus_allowed_ptr() {
   1)               |            __set_cpus_allowed_ptr() {
   1)               |              task_rq_lock() {
   1)   0.083 us    |                _raw_spin_lock_irqsave();
   1)   0.085 us    |                _raw_spin_lock();
   1)   0.428 us    |              }
   1)               |              update_rq_clock() {
   1)   0.102 us    |                update_rq_clock_task();
   1)   0.274 us    |              }
   1)   0.094 us    |              _raw_spin_unlock_irqrestore();
   1)   1.190 us    |            }
   1)   1.353 us    |          }
   1)   0.151 us    |          kfree();
   1) + 90.954 us   |        } /* __kthread_create_on_node */
   1) + 91.145 us   |      } /* kthread_create_on_node */
   1)               |      wake_up_process() {
   1)               |        try_to_wake_up() {
   1)   0.087 us    |          _raw_spin_lock_irqsave();
