# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   3)   0.135 us    |        should_failslab();
   3)   0.298 us    |      } /* kmem_cache_alloc */
   3)   0.156 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.079 us    |        rcu_all_qs();
   3)   0.232 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.241 us    |      }
   3)   0.153 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.233 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.256 us    |      }
   3)   0.153 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.232 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.080 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.181 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.234 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.079 us    |        should_failslab();
   3)   0.239 us    |      }
   3)   0.151 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.234 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.247 us    |      }
   3)   0.155 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.233 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.154 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.245 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.165 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.087 us    |        rcu_all_qs();
   3)   0.254 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.253 us    |      }
   3)   0.151 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
   3)   0.234 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.248 us    |      }
   3)   0.154 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.084 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.084 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.155 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.083 us    |        rcu_all_qs();
   3)   0.235 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.080 us    |        should_failslab();
   3)   0.244 us    |      }
   3)   0.271 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.237 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.084 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.179 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.245 us    |      }
   3)   0.227 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.079 us    |        rcu_all_qs();
   3)   0.231 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.241 us    |      }
   3)   0.155 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.094 us    |        rcu_all_qs();
   3)   0.249 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.229 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.240 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.249 us    |      }
   3)   0.230 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.084 us    |        rcu_all_qs();
   3)   0.241 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.082 us    |        should_failslab();
   3)   0.247 us    |      }
   3)   0.156 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.236 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.083 us    |        should_failslab();
   3)   0.249 us    |      }
   3)   0.153 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.082 us    |        rcu_all_qs();
   3)   0.235 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.081 us    |        should_failslab();
   3)   0.249 us    |      }
   3)   0.186 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.081 us    |        rcu_all_qs();
   3)   0.238 us    |      }
   3)               |      kmem_cache_alloc() {
   3)   0.085 us    |        should_failslab();
   3)   0.246 us    |      }
   3)   0.155 us    |      wl_tree_add [ubi]();
   3)               |      __cond_resched() {
   3)   0.080 us    |        rcu_all_qs();
