# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.206 us    |            setup_object.isra.0();
   0)   0.083 us    |            setup_object.isra.0();
   0)   0.082 us    |            setup_object.isra.0();
   0) + 23.159 us   |          } /* allocate_slab */
   0) + 23.875 us   |        } /* ___slab_alloc */
   0) + 24.247 us   |      } /* kmem_cache_alloc */
   0)   0.188 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.077 us    |        rcu_all_qs();
   0)   0.233 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.081 us    |        should_failslab();
   0)   0.243 us    |      }
   0)   0.169 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.083 us    |        rcu_all_qs();
   0)   0.240 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.243 us    |      }
   0)   0.146 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.237 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.079 us    |        should_failslab();
   0)   0.241 us    |      }
   0)   0.180 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.238 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.245 us    |      }
   0)   0.146 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.233 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.245 us    |      }
   0)   0.169 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.084 us    |        rcu_all_qs();
   0)   0.237 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.246 us    |      }
   0)   0.148 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.244 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.247 us    |      }
   0)   0.181 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.240 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.097 us    |        should_failslab();
   0)   0.263 us    |      }
   0)   0.160 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.232 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.240 us    |      }
   0)   0.168 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.085 us    |        rcu_all_qs();
   0)   0.240 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.247 us    |      }
   0)   0.163 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.083 us    |        rcu_all_qs();
   0)   0.309 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.247 us    |      }
   0)   0.184 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.082 us    |        rcu_all_qs();
   0)   0.249 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.248 us    |      }
   0)   0.179 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.084 us    |        rcu_all_qs();
   0)   0.238 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.079 us    |        should_failslab();
   0)   0.242 us    |      }
   0)   0.170 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.080 us    |        rcu_all_qs();
   0)   0.234 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.245 us    |      }
   0)   0.159 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.242 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.095 us    |        should_failslab();
   0)   0.256 us    |      }
   0)   0.208 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.080 us    |        rcu_all_qs();
   0)   0.238 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.083 us    |        should_failslab();
   0)   0.245 us    |      }
   0)   0.165 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.081 us    |        rcu_all_qs();
   0)   0.232 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.243 us    |      }
   0)   0.173 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.082 us    |        rcu_all_qs();
   0)   0.236 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.082 us    |        should_failslab();
   0)   0.245 us    |      }
   0)   0.159 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.096 us    |        rcu_all_qs();
   0)   0.252 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.084 us    |        should_failslab();
   0)   0.249 us    |      }
   0)   0.181 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.080 us    |        rcu_all_qs();
   0)   0.234 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.081 us    |        should_failslab();
   0)   0.244 us    |      }
   0)   0.161 us    |      wl_tree_add [ubi]();
   0)               |      __cond_resched() {
   0)   0.080 us    |        rcu_all_qs();
   0)   0.233 us    |      }
   0)               |      kmem_cache_alloc() {
   0)   0.080 us    |        should_failslab();
   0)   0.241 us    |      }
